,2011,2012,2013,2014,2015,2016
13,49736,49604,49179,49342,49620,51037
30032,35096,34680,33475,32264,33524,35117
30303,35030,26058,19000,19224,23953,19883
30305,83806,80580,85993,90095,89489,87516
30306,79614,82296,82566,83903,88201,90276
30307,74378,78619,76591,79563,78960,80428
30308,50160,49364,51584,52424,57888,56734
30309,71772,69701,71854,71174,74932,78301
30310,25280,24583,22861,24664,25886,25953
30311,29346,29422,27651,26665,25880,26047
30312,44217,44379,39105,39653,42169,43067
30313,31886,36029,39670,39583,39427,42128
30314,22400,22474,23649,22900,25373,25196
30315,23608,23166,20951,21280,21210,23665
30316,43474,42656,44129,46977,49516,55469
30317,46818,48488,50548,53922,55625,60845
30318,38721,39097,39421,40236,39523,43992
30319,80740,85263,87759,84937,86217,89794
30324,61728,61914,63810,60871,61753,63653
30326,78966,82069,81794,81498,81071,83805
30327,130270,135660,139543,147852,145176,146361
30331,41990,42915,41777,40847,40578,39956
30332,-,-,-,-,-,-
30334,-,-,-,-,-,-
30336,36681,35819,35484,37917,31417,25958
30342,70619,68948,68867,65155,72030,70900
30344,40443,38327,36830,37324,37264,37470
30354,28016,27789,28230,26373,30537,31684
30363,65172,60192,56806,70802,66618,66914