 beat,2013,2014,2015,2016
101,52322640,62867033,58636727,44104542
102,98253146,97921460,97843688,80044099
103,79759623,74566786,80285434,74944150
104,77600134,68281857,84443893,55328702
105,47181418,45603200,50198834,50970646
106,36016192,37788943,45680033,36927840
107,50653968,48066567,48567730,43437645
108,72410681,69241926,80407961,67555687
109,67855299,43818818,87171600,123046341
110,40815457,56048127,57203984,40562427
111,60859948,71324310,82371040,65831422
112,37991770,41591687,42426455,49699446
113,65944912,64692341,71987560,66204584
114,61012600,56397805,50716576,39738608
201,96624378,101152082,103354248,99268738
202,107610592,95568616,87619673,92160324
203,54638652,51078552,63559131,78136545
204,57280528,60092293,64152438,58206688
205,86634830,81439190,90488386,77094267
206,166018922,156310329,192065458,250039444
207,92096268,133144561,135823842,117935876
208,164386702,164407435,141648674,115845483
209,71029691,65668458,61211793,59947727
210,145186011,150198493,147970056,129852748
211,87744257,107273212,115337888,111070893
212,58332048,68432728,66373712,59135541
213,51263034,50011792,48840927,40676431
301,41774481,44054724,45475371,47609570
302,68749381,82583548,75995769,52914322
303,89940709,94803006,90051960,99991407
304,66195888,74887671,84764131,93655542
305,84385649,58337131,49420130,40424304
306,60514957,62742988,89122769,88417561
307,58737102,67821663,71818439,62168216
308,37821153,44455871,60415301,46597599
309,42173637,48469803,53806207,49344407
310,39792829,41135682,44189271,43736607
311,54931700,58709239,68325776,59136079
312,59888202,61734817,53492500,42403925
313,77029348,85001282,82229435,69384521
401,136803454,130764556,151622715,120716861
402,44050452,42629288,49554928,53802580
403,67119936,48949132,92390861,225686321
404,35317556,39228780,50541030,38677531
405,43835831,51189690,63259734,49581399
406,45622562,40059405,44419041,47746392
407,68975292,69713799,68807208,69053284
408,26616213,31254420,34018127,35058621
409,86766672,87965919,83392096,85308422
410,55216419,47377051,69960723,59800656
411,79969828,85784726,80902446,104139262
412,89277211,84028964,86813129,76636568
413,34453135,39484416,48416824,46612263
414,46542778,55832748,77180935,76153624
501,112015683,113135683,126454111,140983464
502,125037441,132570490,138901160,120930868
503,225151619,206759090,199349685,155550316
504,67830141,63262276,75853214,97318156
505,120397359,122503842,163874045,149002612
506,72598027,58506792,79571963,56662920
507,138134032,127823308,205024848,328179252
508,322420383,328940545,327118016,294034881
509,227865435,235279561,219117028,184407744
510,154646968,132705395,124953253,143888931
511,156820573,129411859,127909888,119920022
512,128759975,129812022,136661733,126994374
601,67013488,60204355,59060853,52890366
602,97547885,90398523,102580487,111756369
603,147641352,142676140,146079333,113136156
604,85522587,87047218,106447148,101823888
605,97693014,103521477,154828954,247823104
606,59377433,65762339,71687401,72205042
607,55195300,50785230,49451911,45881559
608,55562562,55232076,52915786,54122958
609,97376348,81899573,81526953,65111834
610,83291060,60069461,109305670,208690050
611,45145427,46943116,55706154,47622278
612,81038786,68178245,56701424,56643259